Survey_Date,Age,Age_group,Gender,Region,Industry,Job_Role,Work_Arrangement,Hours_Per_Week,Mental_Health_Status,Burnout_Level,Burnout_score,Work_Life_Balance_Score,Physical_Health_Issues,Social_Isolation_Score,Salary_Range
2025-06-01,27,20-35,Female,Africa,Healthcare,Account Manager,Remote,43,None,Medium,6,1,None,4,$80K-100K
2025-06-01,27,20-35,Male,Europe,Professional Services,Account Manager,Hybrid,39,None,High,10,2,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-02,63,51-65,Male,Europe,Technology,Account Manager,Remote,51,None,Low,1,3,Back Pain; Shoulder Pain,2,$60K-80K
2025-06-02,46,36-50,Non-binary,Europe,Professional Services,Account Manager,Hybrid,45,None,Low,1,5,Shoulder Pain,1,$80K-100K
2025-06-02,63,51-65,Male,Asia,Healthcare,Account Manager,Onsite,55,ADHD,Medium,4,2,Back Pain; Shoulder Pain,2,$120K+
2025-06-02,44,36-50,Male,Oceania,Manufacturing,Account Manager,Onsite,39,Stress Disorder,Medium,6,2,Eye Strain,3,$120K+
2025-06-02,40,36-50,Male,South America,Professional Services,Account Manager,Onsite,50,ADHD,High,9,3,Back Pain; Neck Pain,1,$80K-100K
2025-06-03,58,51-65,Male,Oceania,Manufacturing,Account Manager,Onsite,54,PTSD,High,8,1,Shoulder Pain; Eye Strain,5,$80K-100K
2025-06-03,22,20-35,Male,South America,Finance,Account Manager,Onsite,40,Burnout,Low,2,3,Eye Strain; Neck Pain,3,$80K-100K
2025-06-03,43,36-50,Female,Asia,Finance,Account Manager,Onsite,52,Stress Disorder,Medium,5,4,None,3,$80K-100K
2025-06-03,50,36-50,Female,Africa,Professional Services,Account Manager,Onsite,48,Depression,Low,2,3,Shoulder Pain; Neck Pain,3,$60K-80K
2025-06-03,39,36-50,Male,North America,Manufacturing,Account Manager,Hybrid,42,PTSD,High,10,3,Shoulder Pain; Neck Pain,1,$60K-80K
2025-06-03,63,51-65,Male,Africa,Finance,Account Manager,Onsite,45,ADHD,Low,3,5,Back Pain; Eye Strain,3,$60K-80K
2025-06-03,47,36-50,Female,North America,Professional Services,Account Manager,Onsite,42,ADHD,High,9,4,Back Pain; Eye Strain,4,$80K-100K
2025-06-04,55,51-65,Male,Oceania,Manufacturing,Account Manager,Remote,41,None,High,9,3,Back Pain; Shoulder Pain; Eye Strain,4,$80K-100K
2025-06-04,32,20-35,Male,South America,Customer Service,Account Manager,Onsite,35,None,High,8,3,Back Pain; Shoulder Pain,3,$60K-80K
2025-06-04,28,20-35,Non-binary,Africa,Manufacturing,Account Manager,Hybrid,58,Burnout,Low,3,5,Back Pain,4,$80K-100K
2025-06-04,48,36-50,Female,Oceania,Professional Services,Account Manager,Onsite,59,None,Medium,4,2,Eye Strain,3,$100K-120K
2025-06-05,55,51-65,Male,Asia,Education,Account Manager,Hybrid,57,Burnout,Low,3,2,Back Pain; Eye Strain,4,$60K-80K
2025-06-05,48,36-50,Male,North America,Technology,Account Manager,Hybrid,42,Stress Disorder,Low,1,1,Back Pain; Neck Pain,1,$100K-120K
2025-06-05,60,51-65,Female,Europe,Professional Services,Account Manager,Hybrid,46,PTSD,Medium,6,5,Back Pain; Shoulder Pain; Eye Strain,4,$60K-80K
2025-06-05,45,36-50,Male,Oceania,Technology,Account Manager,Onsite,44,Stress Disorder,Medium,5,3,Back Pain; Shoulder Pain; Eye Strain,1,$100K-120K
2025-06-05,43,36-50,Female,Asia,Finance,Account Manager,Onsite,53,Anxiety,Medium,5,3,None,3,$80K-100K
2025-06-05,31,20-35,Male,North America,Technology,Account Manager,Hybrid,35,PTSD,High,8,3,Shoulder Pain; Eye Strain,2,$60K-80K
2025-06-05,58,51-65,Male,South America,Technology,Account Manager,Hybrid,45,Burnout,Medium,6,4,Eye Strain,1,$100K-120K
2025-06-05,23,20-35,Female,Europe,Professional Services,Account Manager,Onsite,44,PTSD,Medium,4,4,None,2,$80K-100K
2025-06-05,55,51-65,Male,South America,Technology,Account Manager,Hybrid,39,PTSD,Low,2,5,Back Pain; Shoulder Pain,3,$60K-80K
2025-06-05,33,20-35,Male,North America,Marketing,Account Manager,Onsite,40,None,High,10,3,Shoulder Pain,3,$80K-100K
2025-06-05,31,20-35,Male,Africa,Customer Service,Account Manager,Hybrid,57,Anxiety,Medium,6,4,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,1,$60K-80K
2025-06-05,59,51-65,Female,Oceania,Customer Service,Account Manager,Onsite,52,Burnout,Medium,6,3,Back Pain; Shoulder Pain; Eye Strain,1,$80K-100K
2025-06-06,44,36-50,Female,South America,Technology,Account Manager,Onsite,59,Depression,Low,3,1,Back Pain,2,$60K-80K
2025-06-06,49,36-50,Male,Europe,Education,Account Manager,Onsite,36,None,Medium,6,2,Shoulder Pain; Eye Strain,4,$60K-80K
2025-06-06,42,36-50,Female,North America,Professional Services,Account Manager,Remote,44,PTSD,Medium,4,3,None,3,$40K-60K
2025-06-06,28,20-35,Female,North America,Customer Service,Account Manager,Hybrid,62,Burnout,High,9,3,Back Pain; Shoulder Pain; Neck Pain,3,$40K-60K
2025-06-07,41,36-50,Female,Asia,Manufacturing,Account Manager,Hybrid,46,Burnout,Medium,5,2,Shoulder Pain,2,$80K-100K
